@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
62,3138,0,90200,2083,0.977428,1,0.03362,1,0.96638,0.065052,0.97817,1.022317,0
63,3138,0,90120,2163,0.976561,1,0.033649,1,0.966351,0.065106,0.977332,1.023194,0
64,3138,0,90038,2245,0.975673,1,0.033678,1,0.966322,0.065162,0.976473,1.024094,0
65,3138,0,90036,2247,0.975651,1,0.033679,1,0.966321,0.065163,0.976452,1.024116,0
66,3138,0,90035,2248,0.97564,1,0.033679,1,0.966321,0.065164,0.976441,1.024127,0
67,3138,0,90034,2249,0.975629,1,0.03368,1,0.96632,0.065165,0.976431,1.024138,0
68,3138,0,90029,2254,0.975575,1,0.033681,1,0.966319,0.065168,0.976378,1.024193,0
69,3138,0,90028,2255,0.975564,1,0.033682,1,0.966318,0.065169,0.976368,1.024204,0
70,3138,0,90027,2256,0.975553,1,0.033682,1,0.966318,0.065169,0.976357,1.024215,0
71,3138,0,90024,2259,0.975521,1,0.033683,1,0.966317,0.065171,0.976326,1.024248,0
72,3138,0,90023,2260,0.97551,1,0.033684,1,0.966316,0.065172,0.976315,1.024259,0
73,3138,0,90022,2261,0.975499,1,0.033684,1,0.966316,0.065173,0.976305,1.02427,0
74,3138,0,89978,2305,0.975022,1,0.0337,1,0.9663,0.065202,0.975844,1.024754,0
75,3138,0,89977,2306,0.975012,1,0.0337,1,0.9663,0.065203,0.975833,1.024765,0
76,3138,0,89923,2360,0.974426,1,0.03372,1,0.96628,0.06524,0.975267,1.02536,0
77,3137,1,89868,2415,0.97383,0.999681,0.033729,0.999681,0.966271,0.065257,0.974681,1.02565,0
78,3137,1,89815,2468,0.973256,0.999681,0.033749,0.999681,0.966251,0.065293,0.974125,1.026235,0
79,3137,1,89761,2522,0.972671,0.999681,0.033768,0.999681,0.966232,0.06533,0.973559,1.026831,0
80,3137,1,89719,2564,0.972216,0.999681,0.033783,0.999681,0.966217,0.065358,0.973119,1.027296,0
81,3137,1,89660,2623,0.971577,0.999681,0.033805,0.999681,0.966195,0.065398,0.972501,1.027949,0
82,3137,1,89598,2685,0.970905,0.999681,0.033828,0.999681,0.966172,0.065441,0.971851,1.028636,0
83,3137,1,89530,2753,0.970168,0.999681,0.033852,0.999681,0.966148,0.065487,0.971138,1.029391,0
84,3137,1,89464,2819,0.969453,0.999681,0.033877,0.999681,0.966123,0.065532,0.970447,1.030125,0
85,3137,1,89413,2870,0.9689,0.999681,0.033895,0.999681,0.966105,0.065567,0.969912,1.030693,0
86,3137,1,89338,2945,0.968087,0.999681,0.033923,0.999681,0.966077,0.065619,0.969126,1.031528,0
