fpr,tpr
0.000637,0.073266
0.000637,0.072345
0.000637,0.07084
0.000637,0.070212
0.000637,0.069627
0.000637,0.068902
0.000637,0.067613
0.000637,0.067007
0.000637,0.066021
0.000637,0.066
0.000637,0.064278
0.000637,0.063682
0.000637,0.062881
0.000637,0.062318
0.000637,0.061452
0.000637,0.061138
0.000637,0.060477
0.000637,0.060326
0.000637,0.059903
0.000637,0.059253
0.000637,0.059243
0.000637,0.058972
0.000637,0.058593
0.000637,0.057813
0.000637,0.057434
0.000637,0.057077
0.000637,0.056449
0.000637,0.056308
0.000637,0.056189
0.000637,0.05568
0.000637,0.054868
0.000319,0.054023
0.000319,0.053244
0.000319,0.052962
0.000319,0.052421
0.000319,0.051706
0.000319,0.051522
0.000319,0.051035
0.000319,0.050688
0.000319,0.050233
0.000319,0.049226
0.000319,0.048468
0.000319,0.048295
0.000319,0.047602
0.000319,0.047364
0.000319,0.046389
0.000319,0.046097
0.000319,0.045718
0.000319,0.04549
0.000319,0.0447
0.000319,0.043974
0.000319,0.043725
0.000319,0.043076
0.000319,0.042415
0.000319,0.041213
0.000319,0.040379
0.000319,0.039177
0.000319,0.037835
0.000319,0.037445
0.000319,0.037012
0.000319,0.036059
0.000319,0.035799
0.000319,0.035095
0.000319,0.034749
0.000319,0.034532
0.000319,0.034326
0.000319,0.034056
0.000319,0.033861
0.000319,0.033622
0.000319,0.033178
0.000319,0.032962
0.000319,0.032648
0.000319,0.032496
0.000319,0.032106
0.000319,0.031554
0.000319,0.03111
0.000319,0.030753
0.000319,0.030515
0.000319,0.030136
0.000319,0.029832
0.000319,0.029183
0.000319,0.02876
0.000319,0.02875
0.000319,0.028468
0.000319,0.028111
0.000319,0.027439
0,0.027125
0,0.026476
0,0.025176
0,0.024992
0,0.024429
0,0.023487
0,0.022393
0,0.021917
0,0.0213
0,0.020423
0,0.020141
0,0.019859
0,0.019589
0,0.019578
0,0.019351
0,0.018842
0,0.018062
0,0.017835
0,0.016871
0,0.016849
0,0.016654
0,0.016459
0,0.016275
0,0.015853
0,0.015366
0,0.015019
0,0.014218
0,0.013828
0,0.012691
0,0.012388
0,0.012095
0,0.011381
0,0.011034
0,0.010298
0,0.009962
0,0.009637
0,0.009237
0,0.008934
0,0.008576
0,0.008197
0,0.007926
0,0.007298
0,0.007288
0,0.006627
0,0.006616
0,0.006291
0,0.006281
0,0.005999
0,0.005566
0,0.005133
0,0.004721
0,0.004321
0,0.003963
0,0.003952
0,0.003942
0,0.003054
0,0.002252
0,0.001462
0,0.000704
0,0
