@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
54,3125,13,74749,17534,0.809998,0.995857,0.040129,0.995857,0.959871,0.077149,0.81611,1.220249,0
55,3125,13,74747,17536,0.809976,0.995857,0.04013,0.995857,0.95987,0.077151,0.816089,1.220281,0
56,3125,13,74746,17537,0.809965,0.995857,0.04013,0.995857,0.95987,0.077152,0.816078,1.220296,0
57,3125,13,74739,17544,0.809889,0.995857,0.040134,0.995857,0.959866,0.077159,0.816005,1.220406,0
58,3125,13,74738,17545,0.809878,0.995857,0.040135,0.995857,0.959865,0.07716,0.815994,1.220422,0
59,3125,13,74737,17546,0.809867,0.995857,0.040135,0.995857,0.959865,0.07716,0.815984,1.220437,0
60,3125,13,74735,17548,0.809846,0.995857,0.040136,0.995857,0.959864,0.077162,0.815963,1.220469,0
61,3125,13,74733,17550,0.809824,0.995857,0.040137,0.995857,0.959863,0.077164,0.815942,1.2205,0
62,3125,13,74732,17551,0.809813,0.995857,0.040138,0.995857,0.959862,0.077165,0.815932,1.220516,0
63,3125,13,74730,17553,0.809792,0.995857,0.040139,0.995857,0.959861,0.077167,0.815911,1.220547,0
64,3125,13,74729,17554,0.809781,0.995857,0.040139,0.995857,0.959861,0.077168,0.8159,1.220563,0
65,3125,13,74728,17555,0.80977,0.995857,0.04014,0.995857,0.95986,0.077169,0.81589,1.220578,0
66,3125,13,74727,17556,0.809759,0.995857,0.04014,0.995857,0.95986,0.07717,0.815879,1.220594,0
67,3125,13,74723,17560,0.809716,0.995857,0.040142,0.995857,0.959858,0.077174,0.815837,1.220657,0
68,3125,13,74722,17561,0.809705,0.995857,0.040143,0.995857,0.959857,0.077175,0.815827,1.220673,0
69,3125,13,74721,17562,0.809694,0.995857,0.040143,0.995857,0.959857,0.077176,0.815816,1.220688,0
70,3125,13,74718,17565,0.809662,0.995857,0.040145,0.995857,0.959855,0.077179,0.815785,1.220735,0
71,3125,13,74717,17566,0.809651,0.995857,0.040145,0.995857,0.959855,0.07718,0.815774,1.220751,0
72,3125,13,74712,17571,0.809597,0.995857,0.040148,0.995857,0.959852,0.077184,0.815722,1.220829,0
73,3125,13,74711,17572,0.809586,0.995857,0.040149,0.995857,0.959851,0.077185,0.815711,1.220845,0
74,3125,13,74710,17573,0.809575,0.995857,0.040149,0.995857,0.959851,0.077186,0.815701,1.220861,0
75,3125,13,74707,17576,0.809542,0.995857,0.040151,0.995857,0.959849,0.077189,0.81567,1.220908,0
76,3125,13,74706,17577,0.809532,0.995857,0.040151,0.995857,0.959849,0.07719,0.815659,1.220923,0
77,3125,13,74705,17578,0.809521,0.995857,0.040152,0.995857,0.959848,0.077191,0.815649,1.220939,0
78,3125,13,74700,17583,0.809467,0.995857,0.040154,0.995857,0.959846,0.077196,0.815596,1.221018,0
79,3125,13,74699,17584,0.809456,0.995857,0.040155,0.995857,0.959845,0.077197,0.815586,1.221033,0
80,3125,13,74698,17585,0.809445,0.995857,0.040155,0.995857,0.959845,0.077198,0.815575,1.221049,0
81,3125,13,74697,17586,0.809434,0.995857,0.040156,0.995857,0.959844,0.077199,0.815565,1.221065,0
82,3125,13,74696,17587,0.809423,0.995857,0.040156,0.995857,0.959844,0.0772,0.815554,1.22108,0
83,3125,13,74695,17588,0.809412,0.995857,0.040157,0.995857,0.959843,0.077201,0.815544,1.221096,0
84,3125,13,74694,17589,0.809402,0.995857,0.040157,0.995857,0.959843,0.077201,0.815533,1.221112,0
85,3125,13,74693,17590,0.809391,0.995857,0.040158,0.995857,0.959842,0.077202,0.815523,1.221127,0
86,3125,13,74692,17591,0.80938,0.995857,0.040158,0.995857,0.959842,0.077203,0.815512,1.221143,0
