@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
46,92340,9,2648,490,0.84385,0.999903,0.972123,0.999903,0.027877,0.985817,0.994774,1.005155,0.000001
47,92338,11,2634,504,0.839388,0.999881,0.972266,0.999881,0.027734,0.98588,0.994607,1.005303,0.000001
48,92337,12,2621,517,0.835245,0.99987,0.972398,0.99987,0.027602,0.985943,0.99446,1.00544,0.000001
49,92337,12,2603,535,0.829509,0.99987,0.972583,0.99987,0.027417,0.986038,0.994271,1.005631,0.000001
50,92337,12,2595,543,0.82696,0.99987,0.972665,0.99987,0.027335,0.98608,0.994188,1.005716,0.000002
51,92336,13,2576,562,0.820905,0.999859,0.972859,0.999859,0.027141,0.986174,0.993978,1.005917,0.000002
52,92334,15,2553,585,0.813576,0.999838,0.973094,0.999838,0.026906,0.986285,0.993716,1.00616,0.000002
53,92329,20,2529,609,0.805927,0.999783,0.973339,0.999783,0.026661,0.986384,0.993413,1.006413,0.000002
54,92329,20,2524,614,0.804334,0.999783,0.97339,0.999783,0.02661,0.98641,0.99336,1.006466,0.000002
55,92325,24,2480,658,0.790312,0.99974,0.973841,0.99974,0.026159,0.986621,0.992858,1.006932,0.000002
56,92323,26,2462,676,0.784576,0.999718,0.974025,0.999718,0.025975,0.986705,0.992648,1.007123,0.000003
57,92320,29,2407,731,0.767049,0.999686,0.97459,0.999686,0.02541,0.986979,0.992041,1.007707,0.000003
58,92319,30,2353,785,0.749841,0.999675,0.975146,0.999675,0.024854,0.987258,0.991465,1.008281,0.000003
59,92307,42,2201,937,0.701402,0.999545,0.976711,0.999545,0.023289,0.987996,0.989747,1.009899,0.000003
60,92300,49,2105,1033,0.670809,0.999469,0.977702,0.999469,0.022298,0.988466,0.988669,1.010925,0.000004
61,92259,90,1598,1540,0.509242,0.999025,0.982974,0.999025,0.017026,0.990935,0.98293,1.016375,0.000004
62,92239,110,1224,1914,0.390057,0.998809,0.986904,0.998809,0.013096,0.992821,0.978803,1.020439,0.032258
63,92236,113,1224,1914,0.390057,0.998776,0.986903,0.998776,0.013097,0.992804,0.978772,1.020438,0.038462
64,92236,113,1223,1915,0.389739,0.998776,0.986914,0.998776,0.013086,0.99281,0.978762,1.020449,0.04762
65,92236,113,1222,1916,0.38942,0.998776,0.986925,0.998776,0.013075,0.992815,0.978751,1.02046,0.050001
66,92236,113,1221,1917,0.389101,0.998776,0.986935,0.998776,0.013065,0.99282,0.978741,1.020471,0.052632
67,92236,113,1220,1918,0.388783,0.998776,0.986946,0.998776,0.013054,0.992826,0.97873,1.020482,0.055556
68,92235,114,1219,1919,0.388464,0.998766,0.986956,0.998766,0.013044,0.992826,0.978709,1.020493,0.058824
69,92234,115,1217,1921,0.387827,0.998755,0.986977,0.998755,0.013023,0.992831,0.978678,1.020514,0.058824
70,92234,115,1215,1923,0.387189,0.998755,0.986998,0.998755,0.013002,0.992842,0.978657,1.020536,0.06
71,92232,117,1215,1923,0.387189,0.998733,0.986998,0.998733,0.013002,0.992831,0.978636,1.020536,0.062501
72,92232,117,1214,1924,0.386871,0.998733,0.987009,0.998733,0.012991,0.992836,0.978625,1.020547,0.062501
73,92232,117,1213,1925,0.386552,0.998733,0.987019,0.998733,0.012981,0.992842,0.978615,1.020558,0.076923
74,92231,118,1213,1925,0.386552,0.998722,0.987019,0.998722,0.012981,0.992836,0.978604,1.020558,0.078432
75,92230,119,1213,1925,0.386552,0.998711,0.987019,0.998711,0.012981,0.992831,0.978594,1.020558,0.081081
76,92229,120,1212,1926,0.386233,0.998701,0.987029,0.998701,0.012971,0.992831,0.978573,1.020568,0.083334
77,92229,120,1208,1930,0.384959,0.998701,0.987072,0.998701,0.012928,0.992852,0.978531,1.020612,0.083334
78,92228,121,1208,1930,0.384959,0.99869,0.987071,0.99869,0.012929,0.992847,0.978521,1.020612,0.090909
79,92227,122,1206,1932,0.384321,0.998679,0.987092,0.998679,0.012908,0.992852,0.978489,1.020634,0.09091
80,92227,122,1203,1935,0.383365,0.998679,0.987124,0.998679,0.012876,0.992868,0.978458,1.020666,0.09091
81,92227,122,1202,1936,0.383047,0.998679,0.987135,0.998679,0.012865,0.992873,0.978447,1.020677,0.095239
82,92226,123,1202,1936,0.383047,0.998668,0.987134,0.998668,0.012866,0.992868,0.978437,1.020677,0.1
83,92226,123,1201,1937,0.382728,0.998668,0.987145,0.998668,0.012855,0.992873,0.978426,1.020688,0.100001
84,92224,125,1201,1937,0.382728,0.998646,0.987145,0.998646,0.012855,0.992862,0.978405,1.020688,0.100001
85,92223,126,1201,1937,0.382728,0.998636,0.987145,0.998636,0.012855,0.992857,0.978395,1.020688,0.100001
86,92222,127,1197,1941,0.381453,0.998625,0.987187,0.998625,0.012813,0.992873,0.978343,1.020731,0.104167
87,92221,128,1197,1941,0.381453,0.998614,0.987187,0.998614,0.012813,0.992867,0.978332,1.020731,0.105264
88,92220,129,1197,1941,0.381453,0.998603,0.987186,0.998603,0.012814,0.992862,0.978322,1.020731,0.108696
89,92219,130,1197,1941,0.381453,0.998592,0.987186,0.998592,0.012814,0.992857,0.978311,1.020731,0.111111
90,92218,131,1197,1941,0.381453,0.998581,0.987186,0.998581,0.012814,0.992851,0.978301,1.020731,0.111112
91,92218,131,1195,1943,0.380816,0.998581,0.987207,0.998581,0.012793,0.992862,0.97828,1.020752,0.111112
92,92218,131,1194,1944,0.380497,0.998581,0.987218,0.998581,0.012782,0.992867,0.978269,1.020763,0.111112
93,92216,133,1194,1944,0.380497,0.99856,0.987218,0.99856,0.012782,0.992856,0.978248,1.020763,0.116279
94,92215,134,1193,1945,0.380178,0.998549,0.987228,0.998549,0.012772,0.992856,0.978227,1.020774,0.119048
95,92215,134,1190,1948,0.379222,0.998549,0.98726,0.998549,0.01274,0.992872,0.978196,1.020807,0.119048
96,92214,135,1187,1951,0.378266,0.998538,0.987291,0.998538,0.012709,0.992883,0.978154,1.020839,0.12
97,92214,135,1186,1952,0.377948,0.998538,0.987302,0.998538,0.012698,0.992888,0.978144,1.02085,0.122449
98,92214,135,1185,1953,0.377629,0.998538,0.987312,0.998538,0.012688,0.992894,0.978133,1.020861,0.125
99,92214,135,1184,1954,0.37731,0.998538,0.987323,0.998538,0.012677,0.992899,0.978123,1.020872,0.125001
100,92212,137,1184,1954,0.37731,0.998516,0.987323,0.998516,0.012677,0.992888,0.978102,1.020872,0.125001
101,92212,137,1183,1955,0.376992,0.998516,0.987333,0.998516,0.012667,0.992893,0.978091,1.020883,0.130435
102,92212,137,1182,1956,0.376673,0.998516,0.987344,0.998516,0.012656,0.992899,0.978081,1.020894,0.133334
103,92212,137,1181,1957,0.376354,0.998516,0.987355,0.998516,0.012645,0.992904,0.97807,1.020905,0.133334
104,92212,137,1179,1959,0.375717,0.998516,0.987376,0.998516,0.012624,0.992915,0.978049,1.020926,0.139535
105,92211,138,1179,1959,0.375717,0.998506,0.987376,0.998506,0.012624,0.992909,0.978039,1.020926,0.139535
106,92211,138,1177,1961,0.37508,0.998506,0.987397,0.998506,0.012603,0.99292,0.978018,1.020948,0.142858
107,92211,138,1176,1962,0.374761,0.998506,0.987407,0.998506,0.012593,0.992925,0.978007,1.020959,0.142858
108,92207,142,1175,1963,0.374442,0.998462,0.987417,0.998462,0.012583,0.992909,0.977955,1.02097,0.142858
109,92207,142,1173,1965,0.373805,0.998462,0.987438,0.998462,0.012562,0.99292,0.977934,1.020991,0.148936
110,92207,142,1172,1966,0.373486,0.998462,0.987449,0.998462,0.012551,0.992925,0.977924,1.021002,0.15
111,92206,143,1171,1967,0.373168,0.998452,0.987459,0.998452,0.012541,0.992925,0.977903,1.021013,0.152174
112,92206,143,1170,1968,0.372849,0.998452,0.98747,0.998452,0.01253,0.99293,0.977892,1.021024,0.153847
113,92206,143,1169,1969,0.37253,0.998452,0.987481,0.998452,0.012519,0.992936,0.977882,1.021035,0.153847
114,92205,144,1169,1969,0.37253,0.998441,0.98748,0.998441,0.01252,0.99293,0.977871,1.021035,0.157895
115,92205,144,1168,1970,0.372212,0.998441,0.987491,0.998441,0.012509,0.992936,0.977861,1.021046,0.166668
116,92203,146,1163,1975,0.370618,0.998419,0.987544,0.998419,0.012456,0.992952,0.977788,1.0211,0.166668
117,92201,148,1159,1979,0.369344,0.998397,0.987586,0.998397,0.012414,0.992962,0.977725,1.021144,0.170732
118,92201,148,1157,1981,0.368706,0.998397,0.987607,0.998397,0.012393,0.992973,0.977704,1.021166,0.181818
119,92201,148,1156,1982,0.368388,0.998397,0.987617,0.998397,0.012383,0.992978,0.977693,1.021176,0.181819
120,92199,150,1153,1985,0.367431,0.998376,0.987649,0.998376,0.012351,0.992983,0.977641,1.021209,0.187501
121,92199,150,1152,1986,0.367113,0.998376,0.987659,0.998376,0.012341,0.992989,0.97763,1.02122,0.200002
122,92193,156,1146,1992,0.365201,0.998311,0.987722,0.998311,0.012278,0.992988,0.977505,1.021285,0.200002
123,92186,163,1136,2002,0.362014,0.998235,0.987827,0.998235,0.012173,0.993004,0.977327,1.021393,0.222223
124,92185,164,1135,2003,0.361695,0.998224,0.987838,0.998224,0.012162,0.993004,0.977306,1.021404,0.23077
