fpr,tpr
1,1
0.999978,1
0.999967,1
0.999946,1
0.999935,1
0.999924,1
0.999913,1
0.999902,1
0.999892,1
0.999772,1
0.999762,1
0.999686,1
0.999577,1
0.999426,1
0.999415,1
0.999306,1
0.999296,1
0.999285,1
0.999263,1
0.999231,1
0.99922,1
0.999209,1
0.999198,1
0.999187,1
0.999155,1
0.999079,1
0.999014,1
0.998938,1
0.998895,1
0.998884,1
0.998158,1
0.997584,1
0.996857,1
0.996099,1
0.996045,1
0.99534,1
0.99456,1
0.994484,1
0.994398,1
0.994365,1
0.994246,1
0.994029,1
0.993953,1
0.993791,1
0.993758,1
0.993617,1
0.993585,1
0.993422,1
0.993401,1
0.99339,1
0.992826,1
0.992816,1
0.992794,1
0.992772,1
0.99209,1
0.991504,1
0.991483,1
0.991353,1
0.991342,1
0.991331,1
0.991277,1
0.991266,1
0.991071,1
0.990854,1
0.990843,1
0.990822,1
0.990789,1
0.990778,1
0.990768,1
0.990139,1
0.990128,1
0.989955,1
0.989944,1
0.989911,1
0.98989,1
0.989879,1
0.989857,1
0.989077,1
0.989066,1
0.989045,1
0.989023,1
0.988719,1
0.988709,1
0.988319,1
0.988232,1
0.988058,1
0.987701,1
0.987679,1
0.987647,1
0.987636,1
0.987473,1
0.987148,1
0.987116,1
0.987051,1
0.986563,1
0.986227,1
0.986216,1
0.986065,1
0.985577,1
0.985566,1
0.985447,1
0.985371,1
0.98484,1
0.984147,1
0.984114,1
0.983919,1
0.983908,1
0.983876,1
0.983865,1
0.983854,1
0.983843,1
0.983832,1
0.983822,1
0.983767,1
0.983746,1
0.983713,1
0.98367,1
0.983659,1
0.983626,1
0.983605,1
0.983583,1
0.983572,1
0.983529,1
0.983518,1
0.983486,1
0.983464,1
0.983442,1
0.983431,1
0.983421,1
0.983377,1
0.98315,1
0.983117,1
0.983106,1
0.982922,1
0.982868,1
0.982846,1
0.982608,1
0.982597,1
0.982586,1
0.982575,1
0.982456,1
0.982445,1
0.98225,1
0.982185,1
0.982142,1
0.982109,1
0.98186,1
0.981611,1
0.9816,1
0.981589,1
0.981568,1
0.981242,1
0.981026,1
0.980993,1
0.980972,1
0.98095,1
0.980896,1
0.980831,1
0.980701,1
0.980473,1
0.980462,1
0.980451,1
0.980441,1
0.980419,1
0.980386,1
0.980376,1
0.980354,1
0.980321,1
0.980311,1
0.9803,1
0.980235,1
0.980224,1
0.980213,1
0.979953,1
0.979693,1
0.979563,1
0.979541,1
0.979487,1
0.979465,1
0.979238,1
0.979227,1
0.97914,1
0.979086,1
0.978783,1
0.978685,1
0.978663,1
0.978653,1
0.978642,1
0.978631,1
0.97849,1
0.978273,1
0.97823,1
0.978176,1
0.978024,1
0.977992,1
0.977829,1
0.977786,1
0.977558,1
0.977547,1
0.977331,1
0.97732,1
0.977309,1
0.977298,1
0.977287,1
0.977276,1
0.977114,1
0.977103,1
0.977092,1
0.976951,1
0.97693,1
0.976204,1
0.97551,1
0.975445,1
0.975174,1
0.975163,1
0.975055,1
0.975022,1
0.975012,1
0.974838,1
0.974795,1
0.974784,1
0.97473,1
0.974719,1
0.974557,1
0.974546,1
0.974492,1
0.97447,1
0.974437,1
0.97356,1
0.973549,1
0.973527,1
0.97344,1
0.97343,1
0.973419,1
0.973365,1
0.973354,1
0.973343,1
0.973321,1
0.973278,1
0.973267,1
0.973256,1
0.973224,1
0.973191,1
0.973061,1
0.97305,1
0.973007,1
0.972974,1
0.972953,1
0.972931,1
0.972823,1
0.972812,1
0.972693,1
0.972682,1
0.972617,1
0.972573,1
0.972552,1
0.972454,1
0.972443,1
0.972389,1
0.972292,1
0.972281,1
0.972259,1
0.972248,1
0.972216,1
0.972205,1
0.972075,1
0.972021,1
0.971945,1
0.971902,1
0.971869,1
0.971847,1
0.97136,1
0.970926,1
0.970894,1
0.970883,1
0.970861,1
0.970851,1
0.970471,1
0.97046,1
0.970439,1
0.970428,1
0.970385,1
0.970363,1
0.970352,1
0.97033,1
0.970222,1
0.970092,1
0.969962,1
0.969951,1
0.969864,1
0.969691,1
0.96968,1
0.969539,1
0.969529,1
0.969128,1
0.968683,1
0.968456,1
0.968337,1
0.968326,1
0.968315,1
0.968293,1
0.968261,1
0.968228,1
0.968217,1
0.968141,1
0.967957,1
0.96709,1
0.966126,1
0.965617,1
0.965497,1
0.964977,1
0.964479,1
0.964316,1
0.9641,1
0.964089,1
0.96397,1
0.963959,1
0.963905,1
0.963742,1
0.963623,1
0.963363,1
0.963341,1
0.96333,1
0.963178,1
0.963157,1
0.962994,1
0.962106,1
0.96203,1
0.961986,1
0.961401,1
0.961336,1
0.961217,1
0.961206,1
0.960621,1
0.960426,1
0.960415,1
0.960404,1
0.960188,1
0.960177,1
0.960144,1
0.960134,1
0.960112,1
0.96009,1
0.960058,1
0.959256,1
0.959245,1
0.959223,1
0.959212,1
0.959191,1
0.959169,1
0.959158,1
0.958562,1
0.958551,1
0.958465,1
0.958454,1
0.958346,1
0.958335,1
0.958183,1
0.958161,1
0.95814,1
0.958107,1
0.958096,1
0.958085,1
0.958064,1
0.958053,1
0.957847,1
0.957836,1
0.957815,1
0.95776,1
0.957739,1
0.957706,1
0.95763,1
0.957609,1
0.957598,1
0.957587,1
0.957576,1
0.957554,1
0.957511,1
0.957489,1
0.957294,1
0.957284,1
0.957143,1
0.957132,1
0.957078,1
0.956948,1
0.956915,1
0.956698,1
0.956688,1
0.956644,1
0.956623,1
0.956601,1
0.95529,1
0.955192,1
0.955181,1
0.955171,1
0.95516,1
0.955149,1
0.955138,1
0.955019,1
0.954997,1
0.954943,1
0.954932,1
0.954921,1
0.954802,1
0.954748,1
0.954715,1
0.954705,1
0.95464,1
0.954629,1
0.953903,1
0.953881,1
0.953859,1
0.953848,1
0.953783,1
0.952797,1
0.952743,1
0.952732,1
0.952722,1
0.952635,1
0.952559,1
0.952537,1
0.952126,1
0.951692,1
0.951681,1
0.95166,1
0.950901,1
0.95089,1
0.950869,1
0.950814,1
0.950717,1
0.950695,1
0.950684,1
0.950598,1
0.950587,1
0.950359,1
0.950218,1
0.948745,1
0.948723,1
0.948604,1
0.948528,1
0.948452,1
0.948203,1
0.948192,1
0.948181,1
0.948084,1
0.948062,1
0.947975,1
0.947954,1
0.947943,1
0.947932,1
0.947921,1
0.947856,1
0.947769,1
0.947748,1
0.947715,1
0.947639,1
0.947628,1
0.947607,1
0.947498,1
0.947282,1
0.947271,1
0.947249,1
0.947238,1
0.946437,1
0.946426,1
0.946317,1
0.946285,1
0.946079,1
0.946068,1
0.945971,1
0.945841,1
0.945808,1
0.945797,1
0.945786,1
0.945754,1
0.945732,1
0.945678,1
0.945548,1
0.945515,1
0.945396,1
0.945277,1
0.945082,1
0.945071,1
0.944984,1
0.944941,1
0.94493,1
0.944659,1
0.944584,1
0.944562,1
0.944551,1
0.94454,1
0.944529,1
0.944518,1
0.944486,1
0.944443,1
0.944378,1
0.944367,1
0.944356,1
0.944193,1
0.944096,1
0.944042,1
0.943955,1
0.943933,1
0.943717,1
0.943337,1
0.943261,1
0.943121,1
0.943088,1
0.94298,1
0.942817,1
0.942774,1
0.942622,1
0.942579,1
0.94234,1
0.942308,1
0.942221,1
0.9422,1
0.942015,1
0.941983,1
0.941701,1
0.941539,1
0.941387,1
0.941365,1
0.941354,1
0.941343,1
0.941333,1
0.941322,1
0.941311,1
0.940596,1
0.940509,1
0.940477,1
0.940466,1
0.940379,1
0.940357,1
0.940347,1
0.940336,1
0.940325,1
0.940173,1
0.940162,1
0.940108,1
0.939956,1
0.939881,1
0.939859,1
0.939826,1
0.939816,1
0.939783,1
0.939772,1
0.939664,1
0.939469,1
0.93923,1
0.939209,1
0.939198,1
0.939187,1
0.939176,1
0.939165,1
0.939155,1
0.939144,1
0.939133,1
0.939035,1
0.939025,1
0.939014,1
0.939003,1
0.938927,1
0.938916,1
0.938905,1
0.938699,1
0.938678,1
0.938667,1
0.938656,1
0.938624,1
0.938504,1
0.938494,1
0.938396,1
0.938374,1
0.938331,1
0.938298,1
0.938125,1
0.938114,1
0.938082,1
0.93806,1
0.938049,1
0.938038,1
0.938017,1
0.937984,1
0.937973,1
0.937963,1
0.93793,1
0.937887,1
0.937811,1
0.9378,1
0.937768,1
0.937713,1
0.937703,1
0.937692,1
0.93767,1
0.937659,1
0.937551,1
0.937518,1
0.937507,1
0.937497,1
0.937475,1
0.937442,1
0.937421,1
0.937345,1
0.937334,1
0.93728,1
0.937052,1
0.937041,1
0.936976,1
0.936868,1
0.936814,1
0.936792,1
0.936781,1
0.936771,1
0.936716,1
0.936695,1
0.93663,1
0.936619,1
0.936597,1
0.936565,1
0.936521,1
0.936511,1
0.936153,1
0.93612,1
0.936066,1
0.936012,1
0.93585,1
0.935839,1
0.935828,1
0.935709,1
0.935654,1
0.935589,1
0.935568,1
0.935557,1
0.935546,1
0.935524,1
0.935481,1
0.93547,1
0.935459,1
0.935362,1
0.935243,1
0.93521,1
0.935199,1
0.935123,1
0.935113,1
0.935102,1
0.934874,1
0.934842,1
0.93482,1
0.934798,1
0.934788,1
0.934777,1
0.934159,1
0.934116,1
0.934105,1
0.934072,1
0.933997,1
0.933899,1
0.93378,1
0.933747,1
0.933325,1
0.933249,1
0.933162,1
0.933151,1
0.93314,1
0.933043,1
0.933032,1
0.93301,1
0.932967,1
0.932913,1
0.932479,1
0.931114,1
0.931103,1
0.931092,1
0.931082,1
0.931071,1
0.930962,1
0.930952,1
0.930941,1
0.930767,1
0.930746,1
0.930702,1
0.930681,1
0.93067,1
0.930659,1
0.930637,1
0.93054,1
0.930431,1
0.930421,1
0.93041,1
0.930312,1
0.930182,1
0.93015,1
0.930139,1
0.930106,1
0.928643,1
0.928633,1
0.928622,1
0.928535,1
0.928513,1
0.928503,1
0.92847,1
0.928438,1
0.928329,1
0.928318,1
0.928232,1
0.928221,1
0.92821,1
0.928199,1
0.928188,1
0.928177,1
0.928123,1
0.927148,1
0.927105,1
0.927094,1
0.927072,1
0.926996,1
0.926975,1
0.926964,1
0.926942,1
0.92692,1
0.926823,1
0.926801,1
0.92679,1
0.926747,1
0.926725,1
0.926715,1
0.926704,1
0.926693,1
0.925869,1
0.925859,1
0.925848,1
0.925793,1
0.925783,1
0.92575,1
0.925739,1
0.925512,1
0.925501,1
0.925425,1
0.925414,1
0.925393,1
0.925382,1
0.925371,1
0.92536,1
0.925338,1
0.925263,1
0.925252,1
0.923626,1
0.923605,1
0.923594,1
0.923583,1
0.923572,1
0.923561,1
0.923464,1
0.92341,1
0.923377,1
0.922727,1
0.922673,1
0.922662,1
0.922651,1
0.92264,1
0.922575,1
0.922564,1
0.922532,1
0.922521,1
0.922488,1
0.922434,1
0.922423,1
0.922348,1
0.922326,1
0.922185,1
0.922131,1
0.922066,1
0.921871,1
0.92186,1
0.921817,1
0.921795,1
0.921762,1
0.921502,1
0.921491,1
0.921459,1
0.921448,1
0.921318,1
0.921286,1
0.921058,1
0.921047,1
0.920874,1
0.920787,1
0.920776,1
0.920104,1
0.920094,1
0.92005,1
0.919964,1
0.919671,1
0.919606,1
0.919573,1
0.919563,1
0.919433,1
0.919422,1
0.919292,1
0.919238,1
0.919173,1
0.919162,1
0.919151,1
0.91914,1
0.919086,1
0.919032,1
0.918728,1
0.918717,1
0.918609,1
0.918587,1
0.918566,1
0.918436,1
0.918327,1
0.918306,1
0.918197,1
0.918186,1
0.918176,1
0.917883,1
0.917872,1
0.917829,1
0.917796,1
0.917786,1
0.917688,1
0.917428,1
0.917385,1
0.917374,1
0.917363,1
0.916539,1
0.916529,1
0.916518,1
0.915759,1
0.915748,1
0.915618,1
0.915445,1
0.915434,1
0.915423,1
0.91538,1
0.915369,1
0.915358,1
0.914567,1
0.914556,1
0.914502,1
0.914491,1
0.914437,1
0.914264,1
0.913939,1
0.913928,1
0.913917,1
0.913906,1
0.913158,1
0.913137,1
0.913126,1
0.912963,1
0.912953,1
0.912942,1
0.912866,1
0.912855,1
0.912823,1
0.912812,1
0.912779,1
0.912552,1
0.912541,1
0.912508,1
0.912443,1
0.912324,1
0.912194,1
0.912183,1
0.912172,1
0.911782,1
0.911771,1
0.911457,1
0.911381,1
0.91137,1
0.91136,1
0.911338,1
0.911327,1
0.911316,1
0.911305,1
0.911295,1
0.911284,1
0.910807,1
0.910796,1
0.910774,1
0.910764,1
0.910753,1
0.910634,1
0.910623,1
0.910612,1
0.91059,1
0.910341,1
0.91033,1
0.910319,1
0.909452,1
0.909366,1
0.909344,1
0.909301,1
0.90929,1
0.909268,1
0.909225,1
0.909214,1
0.909203,1
0.909192,1
0.909182,1
0.90916,1
0.909149,1
0.909106,1
0.908217,1
0.908195,1
0.908152,1
0.908141,1
0.908098,1
0.908087,1
0.908,1
0.90799,1
0.907751,1
0.90774,1
0.907708,1
0.907697,1
0.907686,1
0.907491,1
0.907469,1
0.907459,1
0.907404,1
0.907394,1
0.90735,1
0.907339,1
0.907318,1
0.907307,1
0.907253,1
0.907242,1
0.907177,1
0.907155,1
0.907133,1
0.907123,1
0.907068,1
0.907058,1
0.907047,1
0.906267,1
0.905942,1
0.905497,1
0.905465,1
0.905443,1
0.905367,1
0.905226,1
0.905215,1
0.90514,1
0.905075,1
0.905031,1
0.904988,1
0.904977,1
0.904955,1
0.90411,1
0.904099,1
0.904078,1
0.904056,1
0.904034,1
0.904013,1
0.903915,1
0.903276,1
0.903265,1
0.903211,1
0.9032,1
0.903189,1
0.903124,1
0.903113,1
0.903048,1
0.903027,1
0.902951,1
0.902929,1
0.902897,1
0.902886,1
0.902864,1
0.902658,1
0.902604,1
0.902593,1
0.902496,1
0.902485,1
0.902474,1
0.902463,1
0.90242,1
0.902322,1
0.902301,1
0.902181,1
0.90217,1
0.90216,1
0.902116,1
0.90203,1
0.901965,1
0.901932,1
0.90191,1
0.901889,1
0.901867,1
0.90177,1
0.901705,1
0.901694,1
0.901683,1
0.901661,1
0.901466,1
0.901444,1
0.901304,1
0.901217,1
0.901119,1
0.901109,1
0.901098,1
0.901076,1
0.901054,1
0.900729,1
0.900708,1
0.900697,1
0.900675,1
0.900513,1
0.900491,1
0.900101,1
0.90009,1
0.900079,1
0.899841,1
0.899819,1
0.899732,1
0.899656,1
0.899646,1
0.899635,1
0.899624,1
0.899581,1
0.899559,1
0.899548,1
0.899537,1
0.899526,1
0.899516,1
0.899256,1
0.899158,1
0.898952,1
0.898909,1
0.898454,1
0.898443,1
0.898378,1
0.898367,1
0.898356,1
0.898237,1
0.898204,1
0.898183,1
0.898172,1
0.898118,1
0.898107,1
0.898096,1
0.898053,1
0.898042,1
0.898031,1
0.89802,1
0.897934,1
0.897923,1
0.897305,1
0.897294,1
0.897273,1
0.897034,1
0.897012,1
0.896969,1
0.896817,1
0.896796,1
0.896687,1
0.896677,1
0.896666,1
0.896557,1
0.896546,1
0.896536,1
0.896492,1
0.896102,1
0.896091,1
0.896026,1
0.896016,1
0.896005,1
0.895972,1
0.895951,1
0.895896,1
0.895875,1
0.895842,1
0.895831,1
0.895799,1
0.895701,1
0.89569,1
0.895138,1
0.895073,1
0.895062,1
0.895051,1
0.89504,1
0.895019,1
0.895008,1
0.894867,1
0.894856,1
0.894845,1
0.894834,1
0.894769,1
0.894759,1
0.894748,1
0.894737,1
0.894693,1
0.894683,1
0.894661,1
0.894423,1
0.894379,1
0.894368,1
0.894358,1
0.894347,1
0.894293,1
0.894282,1
0.894249,1
0.894022,1
0.894011,1
0.893989,1
0.893978,1
0.893957,1
0.893946,1
0.893935,1
0.893924,1
0.893881,1
0.89387,1
0.893707,1
0.893686,1
0.893534,1
0.893523,1
0.893502,1
0.893447,1
0.893382,1
0.893371,1
0.893231,1
0.893003,1
0.892775,1
0.892765,1
0.892743,1
0.892732,1
0.8927,1
0.892645,1
0.892635,1
0.892624,1
0.892028,1
0.892017,1
0.892006,1
0.891909,1
0.891876,1
0.891865,1
0.891854,1
0.891735,1
0.891562,1
0.891497,1
0.891183,1
0.891172,1
0.89115,1
0.891139,1
0.89102,1
0.890933,1
0.890272,1
0.890261,1
0.890251,1
0.890023,1
0.890001,1
0.889698,1
0.889687,1
0.889644,1
0.889633,1
0.889622,1
0.889611,1
0.889568,1
0.889557,1
0.889546,1
0.889535,1
0.889525,1
0.889514,1
0.889492,1
0.889449,1
0.88908,1
0.889026,1
0.888994,1
0.888983,1
0.888734,1
0.888712,1
0.888669,1
0.888658,1
0.888647,1
0.888593,1
0.888582,1
0.888506,1
0.888495,1
0.888484,1
0.888376,1
0.888235,1
0.888213,1
0.88817,1
0.888148,1
0.888083,1
0.888073,1
0.888051,1
0.887921,1
0.88791,1
0.887899,1
0.887888,1
0.887802,1
0.887791,1
0.887715,1
0.887704,1
0.887585,1
0.887574,1
0.887249,1
0.887216,1
0.887184,1
0.887119,1
0.887065,1
0.887054,1
0.887011,1
0.887,1
0.886978,1
0.88687,1
0.886761,1
0.886675,1
0.886653,1
0.88661,1
0.886566,1
0.886512,1
0.886415,1
0.88635,1
0.886339,1
0.886252,1
0.886241,1
0.88622,1
0.886176,1
0.886165,1
0.886003,1
0.885927,1
0.885916,1
0.885905,1
0.885808,1
0.885786,1
0.885754,1
0.885743,1
0.885699,1
0.885645,1
0.885591,1
0.885504,1
0.885494,1
0.885439,1
0.885429,1
0.885385,1
0.885374,1
0.885331,1
0.885298,1
0.885266,1
0.885147,1
0.885028,1
0.885017,1
0.885006,1
0.884973,1
0.884963,1
0.884952,1
0.884941,1
0.884919,1
0.884908,1
0.884865,1
0.884811,1
0.8848,1
0.884789,1
0.884757,1
0.884746,1
0.884724,1
0.884692,1
0.884681,1
0.88467,1
0.884594,1
0.884507,1
0.884258,1
0.884247,1
0.884182,1
0.884172,1
0.884139,1
0.884117,1
0.884106,1
0.883976,1
0.883955,1
0.883868,1
0.883846,1
0.883424,1
0.883413,1
0.883391,1
0.883315,1
0.883305,1
0.883207,1
0.883175,1
0.883045,1
0.883001,1
0.88299,1
0.882969,1
0.882958,1
0.882947,1
0.882763,1
0.882752,1
0.882644,1
0.882633,1
0.8826,1
0.882535,1
0.882492,1
0.88247,1
0.882329,1
0.882319,1
0.882297,1
0.88208,1
0.881831,1
0.881809,1
0.881549,1
0.881538,1
0.881527,1
0.881506,1
0.881495,1
0.88143,1
0.881419,1
0.881408,1
0.881354,1
0.881343,1
0.881322,1
0.881181,1
0.881127,1
0.881105,1
0.881083,1
0.881062,1
0.881029,1
0.881007,1
0.880975,1
0.880531,1
0.880498,1
0.880476,1
0.880444,1
0.880433,1
0.880411,1
0.880401,1
0.880227,1
0.880184,1
0.880151,1
0.88014,1
0.880119,1
0.880108,1
0.87962,1
0.879393,1
0.87923,1
0.879198,1
0.8791,1
0.879013,1
0.878992,1
0.878981,1
0.878808,1
0.878732,1
0.878699,1
0.878678,1
0.878558,1
0.878537,1
0.878407,1
0.878396,1
0.878374,1
0.878363,1
0.878352,1
0.878342,1
0.878331,1
0.878298,1
0.878287,1
0.878266,1
0.878255,1
0.878212,1
0.878201,1
0.878179,1
0.878168,1
0.878157,1
0.878103,1
0.878092,1
0.878038,1
0.878017,1
0.877843,1
0.877832,1
0.877821,1
0.877811,1
0.877269,1
0.877258,1
0.877247,1
0.877204,1
0.87715,1
0.877074,1
0.877063,1
0.877052,1
0.877041,1
0.876987,1
0.876857,1
0.876835,1
0.876825,1
0.876814,1
0.876803,1
0.876738,1
0.876727,1
0.876673,1
0.876662,1
0.876651,1
0.876629,1
0.876619,1
0.876608,1
0.876575,1
0.876554,1
0.876532,1
0.87651,1
0.876489,1
0.876478,1
0.876434,1
0.876402,1
0.876391,1
0.876272,1
0.876261,1
0.876239,1
0.876174,1
0.876153,1
0.876131,1
0.876099,1
0.876088,1
0.876077,1
0.875958,1
0.875936,1
0.875893,1
0.875871,1
0.875838,1
0.875752,1
0.87573,1
0.875708,1
0.875676,1
0.875611,1
0.8756,1
0.875362,1
0.87534,1
0.875307,1
0.875264,1
0.875253,1
0.875145,1
0.875123,1
0.875112,1
0.875091,1
0.875058,1
0.875037,1
0.875026,1
0.875015,1
0.874863,1
0.874852,1
0.874809,1
0.874798,1
0.874777,1
0.874701,1
0.87469,1
0.874679,1
0.874668,1
0.874321,1
0.8743,1
0.874289,1
0.874278,1
0.874256,1
0.874246,1
0.874029,1
0.874018,1
0.874007,1
0.873985,1
0.873942,1
0.87392,1
0.873866,1
0.873823,1
0.873812,1
0.873411,1
0.873303,1
0.873292,1
0.873259,1
0.873238,1
0.873227,1
0.873216,1
0.872902,1
0.872869,1
0.872858,1
0.872848,1
0.872555,1
0.872533,1
0.87236,1
0.872349,1
0.872338,1
0.871439,1
0.870583,1
0.870572,1
0.870561,1
0.870518,1
0.870507,1
0.870496,1
0.870475,1
0.870431,1
0.870388,1
0.870355,1
0.870301,1
0.87029,1
0.870009,1
0.869998,1
0.869987,1
0.869933,1
0.869922,1
0.869911,1
0.869868,1
0.869857,1
0.869814,1
0.869792,1
0.869781,1
0.869759,1
0.869748,1
0.869738,1
0.869727,1
0.869683,1
0.869651,1
0.86964,1
0.869629,1
0.869532,1
0.869521,1
0.86951,1
0.869499,1
0.869488,1
0.869413,1
0.869358,1
0.869348,1
0.869207,1
0.869033,1
0.869012,1
0.868979,1
0.868936,1
0.868892,1
0.868871,1
0.86886,1
0.868838,1
0.868827,1
0.868589,1
0.868578,1
0.868557,1
0.868546,1
0.86834,1
0.868253,1
0.86808,1
0.868069,1
0.868058,1
0.868047,1
0.867711,1
0.867549,1
0.867451,1
0.86744,1
0.86743,1
0.867397,1
0.867386,1
0.866855,1
0.866736,1
0.866714,1
0.866541,1
0.86653,1
0.865533,1
0.865512,1
0.865468,1
0.865457,1
0.865425,1
0.865414,1
0.865403,1
0.86536,1
0.865295,1
0.865273,1
0.865262,1
0.86523,1
0.865208,1
0.865186,1
0.865176,1
0.865165,1
0.865143,1
0.8651,1
0.865078,1
0.865067,1
0.865035,1
0.865024,1
0.864981,1
0.864645,1
0.864558,1
0.864504,1
0.864482,1
0.864471,1
0.86446,1
0.864395,1
0.864385,1
0.864352,1
0.864341,1
0.864309,1
0.864287,1
0.864276,1
0.864265,1
0.864255,1
0.864244,1
0.864179,1
0.864146,1
0.864124,1
0.864092,1
0.863951,1
0.863886,1
0.863875,1
0.863626,1
0.863604,1
0.863572,1
0.863182,1
0.86316,1
0.863117,1
0.863063,1
0.863052,1
0.863041,1
0.86303,1
0.863019,1
0.863008,1
0.862998,1
0.862933,1
0.8629,1
0.862878,1
0.862705,1
0.862694,1
0.862586,1
0.862521,1
0.862488,1
0.862412,1
0.86225,1
0.862109,1
0.86199,1
0.861936,1
0.861881,1
0.861871,1
0.86186,1
0.861827,1
0.861816,1
0.861795,1
0.861751,1
0.861741,1
0.861708,1
0.861697,1
0.86161,1
0.8616,1
0.861589,1
0.860993,1
0.86096,1
0.860949,1
0.860939,1
0.860906,1
0.860884,1
0.860852,1
0.860819,1
0.860744,1
0.860733,1
0.860722,1
0.860711,1
0.8607,1
0.860689,1
0.860679,1
0.860516,1
0.860505,1
0.860494,1
0.860484,1
0.860462,1
0.860451,1
0.860429,1
0.860375,1
0.860364,1
0.860332,1
0.860321,1
0.860256,1
0.860213,1
0.860115,1
0.860104,1
0.859931,1
0.859812,1
0.859757,1
0.859649,1
0.859638,1
0.859194,1
0.859075,1
0.858956,1
0.858945,1
0.858901,1
0.858761,1
0.858739,1
0.858544,1
0.858457,1
0.858446,1
0.858425,1
0.858327,1
0.858316,1
0.858251,1
0.858143,1
0.858132,1
0.858121,1
0.858035,1
0.85797,1
0.857872,1
0.857742,1
0.857731,1
0.857677,1
0.857634,1
0.857612,1
0.857569,1
0.857558,1
0.857493,1
0.857482,1
0.85746,1
0.857449,1
0.857439,1
0.857428,1
0.857395,1
0.857384,1
0.857374,1
0.857363,1
0.857352,1
0.857341,1
0.85733,1
0.857319,1
0.857308,1
0.857298,1
0.857243,1
0.857233,1
0.857189,1
0.857178,1
0.857168,1
0.857157,1
0.857124,1
0.857113,1
0.856951,1
0.856929,1
0.856918,1
0.856908,1
0.856853,1
0.856767,1
0.856745,1
