@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
56,92280,3,2386,752,0.760357,0.999967,0.974796,0.999967,0.025204,0.987221,0.992088,1.007943,0.000002
57,92277,6,2347,791,0.747929,0.999935,0.975197,0.999935,0.024803,0.987411,0.991648,1.008357,0.000002
58,92277,6,2343,795,0.746654,0.999935,0.975238,0.999935,0.024762,0.987432,0.991606,1.0084,0.000002
59,92275,8,2322,816,0.739962,0.999913,0.975454,0.999913,0.024546,0.987532,0.991365,1.008623,0.000002
60,92275,8,2318,820,0.738687,0.999913,0.975495,0.999913,0.024505,0.987553,0.991323,1.008666,0.000002
61,92273,10,2291,847,0.730083,0.999892,0.975773,0.999892,0.024227,0.987685,0.991019,1.008953,0.000002
62,92273,10,2284,854,0.727852,0.999892,0.975845,0.999892,0.024155,0.987722,0.990945,1.009028,0.000003
63,92271,12,2251,887,0.717336,0.99987,0.976185,0.99987,0.023815,0.987886,0.990579,1.00938,0.000003
64,92271,12,2243,895,0.714786,0.99987,0.976268,0.99987,0.023732,0.987928,0.990495,1.009465,0.000003
65,92269,14,2180,958,0.69471,0.999848,0.976919,0.999848,0.023081,0.988251,0.989814,1.010138,0.000003
66,92266,17,2165,973,0.68993,0.999816,0.977073,0.999816,0.022927,0.988314,0.989625,1.010298,0.000004
67,92263,20,2070,1068,0.659656,0.999783,0.978056,0.999783,0.021944,0.988801,0.988598,1.011314,0.000004
68,92260,23,2057,1081,0.655513,0.999751,0.978191,0.999751,0.021809,0.988853,0.98843,1.011453,0.012461
69,92260,23,2056,1082,0.655194,0.999751,0.978201,0.999751,0.021799,0.988858,0.98842,1.011464,0.017493
70,92260,23,2055,1083,0.654876,0.999751,0.978211,0.999751,0.021789,0.988864,0.988409,1.011475,0.020349
71,92260,23,2054,1084,0.654557,0.999751,0.978222,0.999751,0.021778,0.988869,0.988399,1.011485,0.022223
72,92260,23,2053,1085,0.654238,0.999751,0.978232,0.999751,0.021768,0.988874,0.988388,1.011496,0.022923
73,92260,23,2052,1086,0.65392,0.999751,0.978242,0.999751,0.021758,0.98888,0.988378,1.011507,0.024391
74,92260,23,2051,1087,0.653601,0.999751,0.978253,0.999751,0.021747,0.988885,0.988367,1.011517,0.025
75,92260,23,2050,1088,0.653282,0.999751,0.978263,0.999751,0.021737,0.98889,0.988357,1.011528,0.026316
76,92260,23,2048,1090,0.652645,0.999751,0.978284,0.999751,0.021716,0.988901,0.988336,1.01155,0.027778
77,92260,23,2046,1092,0.652008,0.999751,0.978305,0.999751,0.021695,0.988911,0.988315,1.011571,0.027778
78,92260,23,2045,1093,0.651689,0.999751,0.978315,0.999751,0.021685,0.988917,0.988304,1.011582,0.030303
79,92260,23,2043,1095,0.651052,0.999751,0.978336,0.999751,0.021664,0.988927,0.988284,1.011603,0.030581
80,92260,23,2042,1096,0.650733,0.999751,0.978346,0.999751,0.021654,0.988933,0.988273,1.011614,0.033333
81,92260,23,2041,1097,0.650414,0.999751,0.978357,0.999751,0.021643,0.988938,0.988263,1.011625,0.033334
82,92260,23,2040,1098,0.650096,0.999751,0.978367,0.999751,0.021633,0.988943,0.988252,1.011635,0.034384
83,92260,23,2039,1099,0.649777,0.999751,0.978377,0.999751,0.021623,0.988949,0.988242,1.011646,0.034483
84,92260,23,2038,1100,0.649458,0.999751,0.978388,0.999751,0.021612,0.988954,0.988231,1.011657,0.034483
85,92260,23,2037,1101,0.64914,0.999751,0.978398,0.999751,0.021602,0.988959,0.988221,1.011668,0.035191
86,92259,24,2037,1101,0.64914,0.99974,0.978398,0.99974,0.021602,0.988954,0.98821,1.011667,0.04
87,92259,24,2035,1103,0.648502,0.99974,0.978419,0.99974,0.021581,0.988964,0.988189,1.011689,0.042135
88,92259,24,2034,1104,0.648184,0.99974,0.978429,0.99974,0.021571,0.98897,0.988179,1.0117,0.042296
89,92258,25,2034,1104,0.648184,0.999729,0.978429,0.999729,0.021571,0.988964,0.988168,1.011699,0.043479
90,92258,25,2033,1105,0.647865,0.999729,0.978439,0.999729,0.021561,0.98897,0.988158,1.01171,0.043479
91,92258,25,2030,1108,0.646909,0.999729,0.97847,0.999729,0.02153,0.988985,0.988126,1.011742,0.044445
92,92258,25,2029,1109,0.64659,0.999729,0.978481,0.999729,0.021519,0.988991,0.988116,1.011753,0.044944
93,92257,26,2029,1109,0.64659,0.999718,0.97848,0.999718,0.02152,0.988985,0.988105,1.011753,0.045455
94,92257,26,2028,1110,0.646272,0.999718,0.978491,0.999718,0.021509,0.988991,0.988095,1.011763,0.045455
95,92257,26,2024,1114,0.644997,0.999718,0.978532,0.999718,0.021468,0.989012,0.988053,1.011806,0.045455
96,92257,26,2020,1118,0.643722,0.999718,0.978574,0.999718,0.021426,0.989033,0.988011,1.011849,0.046512
97,92257,26,2018,1120,0.643085,0.999718,0.978595,0.999718,0.021405,0.989044,0.98799,1.011871,0.047619
98,92257,26,2016,1122,0.642447,0.999718,0.978615,0.999718,0.021385,0.989054,0.987969,1.011892,0.048781
99,92257,26,2015,1123,0.642129,0.999718,0.978626,0.999718,0.021374,0.98906,0.987959,1.011903,0.050001
100,92257,26,2009,1129,0.640217,0.999718,0.978688,0.999718,0.021312,0.989091,0.987896,1.011967,0.050139
101,92257,26,2008,1130,0.639898,0.999718,0.978698,0.999718,0.021302,0.989097,0.987885,1.011978,0.051282
102,92257,26,2007,1131,0.639579,0.999718,0.978709,0.999718,0.021291,0.989102,0.987875,1.011989,0.052632
103,92254,29,2002,1136,0.637986,0.999686,0.97876,0.999686,0.02124,0.989112,0.987791,1.012042,0.053764
104,92253,30,2002,1136,0.637986,0.999675,0.97876,0.999675,0.02124,0.989107,0.98778,1.012042,0.054348
105,92253,30,2001,1137,0.637667,0.999675,0.97877,0.999675,0.02123,0.989112,0.98777,1.012052,0.055556
106,92253,30,1999,1139,0.63703,0.999675,0.978791,0.999675,0.021209,0.989123,0.987749,1.012074,0.055556
107,92253,30,1998,1140,0.636711,0.999675,0.978801,0.999675,0.021199,0.989128,0.987739,1.012085,0.055556
108,92251,32,1997,1141,0.636393,0.999653,0.978811,0.999653,0.021189,0.989122,0.987707,1.012095,0.058824
109,92250,33,1992,1146,0.634799,0.999642,0.978863,0.999642,0.021137,0.989144,0.987644,1.012148,0.058824
110,92250,33,1990,1148,0.634162,0.999642,0.978884,0.999642,0.021116,0.989154,0.987623,1.01217,0.060606
111,92250,33,1989,1149,0.633843,0.999642,0.978894,0.999642,0.021106,0.989159,0.987613,1.01218,0.062501
112,92250,33,1988,1150,0.633525,0.999642,0.978904,0.999642,0.021096,0.989165,0.987602,1.012191,0.062678
113,92250,33,1987,1151,0.633206,0.999642,0.978915,0.999642,0.021085,0.98917,0.987592,1.012202,0.064897
114,92250,33,1986,1152,0.632887,0.999642,0.978925,0.999642,0.021075,0.989175,0.987581,1.012213,0.065934
115,92250,33,1985,1153,0.632569,0.999642,0.978936,0.999642,0.021064,0.989181,0.987571,1.012223,0.066667
116,92250,33,1984,1154,0.63225,0.999642,0.978946,0.999642,0.021054,0.989186,0.98756,1.012234,0.066667
117,92250,33,1983,1155,0.631931,0.999642,0.978956,0.999642,0.021044,0.989191,0.98755,1.012245,0.068966
118,92250,33,1982,1156,0.631612,0.999642,0.978967,0.999642,0.021033,0.989197,0.987539,1.012256,0.069061
119,92249,34,1982,1156,0.631612,0.999632,0.978967,0.999632,0.021033,0.989191,0.987529,1.012255,0.070176
120,92249,34,1981,1157,0.631294,0.999632,0.978977,0.999632,0.021023,0.989196,0.987518,1.012266,0.071429
121,92249,34,1980,1158,0.630975,0.999632,0.978987,0.999632,0.021013,0.989202,0.987508,1.012277,0.071429
122,92248,35,1974,1164,0.629063,0.999621,0.979049,0.999621,0.020951,0.989228,0.987435,1.012341,0.073684
123,92248,35,1973,1165,0.628744,0.999621,0.97906,0.999621,0.02094,0.989233,0.987424,1.012352,0.074074
124,92248,35,1972,1166,0.628426,0.999621,0.97907,0.999621,0.02093,0.989239,0.987414,1.012363,0.076191
125,92248,35,1970,1168,0.627788,0.999621,0.979091,0.999621,0.020909,0.989249,0.987393,1.012384,0.076924
126,92248,35,1958,1180,0.623964,0.999621,0.979216,0.999621,0.020784,0.989313,0.987267,1.012513,0.080863
127,92248,35,1957,1181,0.623646,0.999621,0.979226,0.999621,0.020774,0.989318,0.987256,1.012524,0.083333
128,92248,35,1956,1182,0.623327,0.999621,0.979237,0.999621,0.020763,0.989324,0.987246,1.012535,0.083334
129,92248,35,1955,1183,0.623008,0.999621,0.979247,0.999621,0.020753,0.989329,0.987236,1.012545,0.083334
130,92248,35,1952,1186,0.622052,0.999621,0.979278,0.999621,0.020722,0.989345,0.987204,1.012578,0.083334
131,92247,36,1946,1192,0.62014,0.99961,0.97934,0.99961,0.02066,0.989371,0.987131,1.012642,0.085106
132,92247,36,1945,1193,0.619822,0.99961,0.979351,0.99961,0.020649,0.989377,0.98712,1.012653,0.085107
133,92247,36,1944,1194,0.619503,0.99961,0.979361,0.99961,0.020639,0.989382,0.98711,1.012663,0.088949
134,92247,36,1943,1195,0.619184,0.99961,0.979371,0.99961,0.020629,0.989387,0.987099,1.012674,0.089888
135,92247,36,1942,1196,0.618866,0.99961,0.979382,0.99961,0.020618,0.989393,0.987089,1.012685,0.09091
136,92246,37,1941,1197,0.618547,0.999599,0.979392,0.999599,0.020608,0.989392,0.987068,1.012695,0.091691
137,92246,37,1940,1198,0.618228,0.999599,0.979402,0.999599,0.020598,0.989398,0.987057,1.012706,0.092348
138,92246,37,1939,1199,0.617909,0.999599,0.979413,0.999599,0.020587,0.989403,0.987047,1.012717,0.09375
139,92246,37,1938,1200,0.617591,0.999599,0.979423,0.999599,0.020577,0.989408,0.987036,1.012728,0.095238
140,92246,37,1937,1201,0.617272,0.999599,0.979434,0.999599,0.020566,0.989414,0.987026,1.012738,0.095239
141,92245,38,1935,1203,0.616635,0.999588,0.979454,0.999588,0.020546,0.989419,0.986994,1.01276,0.1
142,92244,39,1935,1203,0.616635,0.999577,0.979454,0.999577,0.020546,0.989413,0.986984,1.012759,0.1
143,92244,39,1933,1205,0.615997,0.999577,0.979475,0.999577,0.020525,0.989424,0.986963,1.012781,0.1
144,92244,39,1932,1206,0.615679,0.999577,0.979485,0.999577,0.020515,0.989429,0.986953,1.012792,0.1
145,92244,39,1931,1207,0.61536,0.999577,0.979496,0.999577,0.020504,0.989435,0.986942,1.012802,0.100001
146,92244,39,1929,1209,0.614723,0.999577,0.979516,0.999577,0.020484,0.989445,0.986921,1.012824,0.100001
147,92244,39,1928,1210,0.614404,0.999577,0.979527,0.999577,0.020473,0.989451,0.986911,1.012835,0.100001
148,92242,41,1926,1212,0.613767,0.999556,0.979547,0.999556,0.020453,0.98945,0.986869,1.012856,0.100001
149,92241,42,1924,1214,0.613129,0.999545,0.979568,0.999545,0.020432,0.989456,0.986837,1.012877,0.102041
150,92241,42,1923,1215,0.612811,0.999545,0.979578,0.999545,0.020422,0.989461,0.986827,1.012888,0.102041
151,92241,42,1922,1216,0.612492,0.999545,0.979589,0.999545,0.020411,0.989466,0.986816,1.012899,0.102564
152,92241,42,1920,1218,0.611855,0.999545,0.979609,0.999545,0.020391,0.989477,0.986795,1.01292,0.103139
153,92241,42,1919,1219,0.611536,0.999545,0.97962,0.999545,0.02038,0.989482,0.986785,1.012931,0.103448
154,92241,42,1918,1220,0.611217,0.999545,0.97963,0.999545,0.02037,0.989487,0.986774,1.012942,0.105264
155,92241,42,1915,1223,0.610261,0.999545,0.979661,0.999545,0.020339,0.989503,0.986743,1.012974,0.105769
156,92241,42,1914,1224,0.609943,0.999545,0.979672,0.999545,0.020328,0.989509,0.986732,1.012985,0.106667
157,92240,43,1913,1225,0.609624,0.999534,0.979682,0.999534,0.020318,0.989508,0.986712,1.012995,0.107143
158,92239,44,1913,1225,0.609624,0.999523,0.979682,0.999523,0.020318,0.989503,0.986701,1.012995,0.108108
159,92239,44,1911,1227,0.608987,0.999523,0.979703,0.999523,0.020297,0.989514,0.98668,1.013017,0.108696
160,92239,44,1910,1228,0.608668,0.999523,0.979713,0.999523,0.020287,0.989519,0.98667,1.013027,0.11062
161,92238,45,1910,1228,0.608668,0.999512,0.979713,0.999512,0.020287,0.989514,0.986659,1.013027,0.111111
162,92238,45,1909,1229,0.608349,0.999512,0.979723,0.999512,0.020277,0.989519,0.986649,1.013038,0.111112
163,92238,45,1906,1232,0.607393,0.999512,0.979754,0.999512,0.020246,0.989535,0.986617,1.01307,0.111112
164,92237,46,1901,1237,0.6058,0.999502,0.979806,0.999502,0.020194,0.989556,0.986554,1.013124,0.111913
